time,growth_rate,length
1209151792,11.3914,669.1171
1209155392,11.3914,669.5918
1209158992,11.3914,670.0665
1209162592,11.3914,670.5411
1209166192,11.3914,671.0158
1209169792,11.3914,671.4905
1209173392,11.3914,671.9651
1209176992,11.3914,672.4398
1209180592,11.3914,672.9145
1209184192,11.3914,673.3892
1209187792,11.3914,673.8638
1209191392,11.3914,674.3385
1209194992,11.3914,674.8132
1209198592,11.3914,675.2878
1209202192,11.3914,675.7625
1209205792,11.3914,676.2372
1209209392,11.3914,676.7119
1209212992,11.3914,677.1865
1209216592,11.3914,677.6612
1209220192,11.3914,678.1359
1209223792,11.3914,678.6105
1209227392,11.3914,679.0852
1209230992,11.3914,679.5599
1209234592,11.3914,680.0345
1209238192,11.3914,680.5092
1209241792,11.3914,680.9839
1209245392,11.3914,681.4586
1209248992,11.3914,681.9332
1209252592,11.3914,682.4079
1209256192,11.3914,682.8826
1209259792,11.3914,683.3572
1209263392,11.3914,683.8319
1209266992,11.3914,684.3066
1209270592,11.3914,684.7812
1209274192,11.3914,685.2559
1209277792,11.3914,685.7306
1209281392,11.3914,686.2053
1209284992,11.3914,686.6799
1209288592,11.3914,687.1546
1209292192,11.3914,687.6293
1209295792,11.3914,688.1039
1209299392,11.3914,688.5786
1209302992,11.3914,689.0533
1209306592,11.3914,689.528
1209310192,11.3914,690.0026
